table_name,column_name,data_type,udt_name,is_nullable,column_default
catering_requests,cancellation_risk_factors,ARRAY,_text,YES,null
catering_requests,has_run_before,boolean,bool,YES,null
catering_requests,vendor_fee_decided_at,timestamp with time zone,timestamptz,YES,null
catering_requests,event_context_confirmed_at,timestamp with time zone,timestamptz,YES,null
catering_requests,logistics_confirmed_at,timestamp with time zone,timestamptz,YES,null
catering_requests,invitations_released_at,timestamp with time zone,timestamptz,YES,null
cause_beneficiaries,id,uuid,uuid,NO,gen_random_uuid()
cause_beneficiaries,name,text,text,NO,null
cause_beneficiaries,contact_email,text,text,YES,null
cause_beneficiaries,stripe_account_id,text,text,YES,null
cause_beneficiaries,remit_method,text,text,NO,'check'::text
cause_beneficiaries,mailing_address,text,text,YES,null
cause_beneficiaries,active,boolean,bool,NO,true
cause_beneficiaries,notes,text,text,YES,null
cause_beneficiaries,created_at,timestamp with time zone,timestamptz,NO,now()
cause_beneficiaries,updated_at,timestamp with time zone,timestamptz,NO,now()
cause_beneficiaries,onboarding_token,uuid,uuid,YES,null
cause_beneficiaries,onboarding_invited_at,timestamp with time zone,timestamptz,YES,null
cause_campaigns,id,uuid,uuid,NO,gen_random_uuid()
cause_campaigns,beneficiary_id,uuid,uuid,NO,null
cause_campaigns,name,text,text,NO,null
cause_campaigns,starts_at,timestamp with time zone,timestamptz,NO,null
cause_campaigns,ends_at,timestamp with time zone,timestamptz,NO,null
cause_campaigns,vertical_id,text,text,YES,null
cause_campaigns,market_ids,ARRAY,_uuid,YES,null
cause_campaigns,round_up_enabled,boolean,bool,NO,true
cause_campaigns,active,boolean,bool,NO,true
cause_campaigns,created_at,timestamp with time zone,timestamptz,NO,now()
cause_ledger,id,uuid,uuid,NO,gen_random_uuid()
cause_ledger,beneficiary_id,uuid,uuid,NO,null
cause_ledger,order_id,uuid,uuid,YES,null
cause_ledger,amount_cents,integer,int4,NO,null
cause_ledger,type,text,text,NO,null
cause_ledger,remittance_id,uuid,uuid,YES,null
cause_ledger,note,text,text,YES,null
cause_ledger,created_at,timestamp with time zone,timestamptz,NO,now()
cause_remittances,id,uuid,uuid,NO,gen_random_uuid()
cause_remittances,beneficiary_id,uuid,uuid,NO,null
cause_remittances,amount_cents,integer,int4,NO,null
cause_remittances,method,text,text,NO,null
cause_remittances,stripe_transfer_id,text,text,YES,null
cause_remittances,status,text,text,NO,'pending'::text
cause_remittances,period_start,date,date,YES,null
cause_remittances,period_end,date,date,YES,null
cause_remittances,notes,text,text,YES,null
cause_remittances,created_at,timestamp with time zone,timestamptz,NO,now()
cause_remittances,paid_at,timestamp with time zone,timestamptz,YES,null
email_events,id,uuid,uuid,NO,gen_random_uuid()
email_events,resend_event_id,text,text,NO,null
email_events,event_type,text,text,NO,null
email_events,email_to,text,text,NO,null
email_events,email_from,text,text,YES,null
email_events,subject,text,text,YES,null
email_events,bounce_type,text,text,YES,null
email_events,error_message,text,text,YES,null
email_events,raw_payload,jsonb,jsonb,YES,null
email_events,created_at,timestamp with time zone,timestamptz,YES,now()
error_logs,id,uuid,uuid,NO,gen_random_uuid()
error_logs,trace_id,text,text,NO,null
error_logs,error_code,text,text,NO,null
error_logs,message,text,text,NO,null
error_logs,context,jsonb,jsonb,YES,'{}'::jsonb
error_logs,breadcrumbs,jsonb,jsonb,YES,'[]'::jsonb
error_logs,user_id,uuid,uuid,YES,null
error_logs,route,text,text,YES,null
error_logs,method,text,text,YES,null
error_logs,pg_code,text,text,YES,null
error_logs,severity,text,text,YES,null
error_logs,created_at,timestamp with time zone,timestamptz,NO,now()
error_logs,vertical_id,text,text,YES,null
error_reports,id,uuid,uuid,NO,gen_random_uuid()
error_reports,error_code,text,text,YES,null
error_reports,trace_id,text,text,YES,null
error_reports,vertical_id,text,text,YES,null
error_reports,page_url,text,text,YES,null
error_reports,user_agent,text,text,YES,null
error_reports,reported_by_user_id,uuid,uuid,YES,null
error_reports,reporter_email,text,text,YES,null
error_reports,user_description,text,text,YES,null
error_reports,status,text,text,NO,'pending'::text
error_reports,escalation_level,text,text,NO,'vertical_admin'::text
error_reports,assigned_to_user_id,uuid,uuid,YES,null
error_reports,resolution_id,uuid,uuid,YES,null
error_reports,resolution_notes,text,text,YES,null
error_reports,vertical_admin_notes,text,text,YES,null
error_reports,escalated_at,timestamp with time zone,timestamptz,YES,null
error_reports,escalated_by_user_id,uuid,uuid,YES,null
error_reports,platform_admin_notes,text,text,YES,null
error_reports,resolved_at,timestamp with time zone,timestamptz,YES,null
error_reports,resolved_by_user_id,uuid,uuid,YES,null
error_reports,created_at,timestamp with time zone,timestamptz,NO,now()
error_reports,updated_at,timestamp with time zone,timestamptz,NO,now()
error_resolutions,id,uuid,uuid,NO,gen_random_uuid()
error_resolutions,error_code,text,text,NO,null
error_resolutions,trace_id,text,text,YES,null
error_resolutions,attempted_fix,text,text,NO,null
error_resolutions,migration_file,text,text,YES,null
error_resolutions,code_changes,text,text,YES,null
error_resolutions,status,text,text,NO,'pending'::text
error_resolutions,failure_reason,text,text,YES,null
error_resolutions,partial_notes,text,text,YES,null
error_resolutions,verification_method,text,text,YES,null
error_resolutions,verification_query,text,text,YES,null
error_resolutions,verification_result,text,text,YES,null
error_resolutions,verified_at,timestamp with time zone,timestamptz,YES,null
error_resolutions,verified_by,text,text,YES,null
error_resolutions,created_at,timestamp with time zone,timestamptz,YES,now()
error_resolutions,updated_at,timestamp with time zone,timestamptz,YES,now()
error_resolutions,created_by,text,text,YES,null
event_change_requests,id,uuid,uuid,NO,gen_random_uuid()
event_change_requests,catering_request_id,uuid,uuid,NO,null
event_change_requests,requested_by,uuid,uuid,YES,null
event_change_requests,reason_category,text,text,NO,null
event_change_requests,explanation,text,text,NO,null
event_change_requests,requested_changes,jsonb,jsonb,NO,null
event_change_requests,preorder_count_at_request,integer,int4,NO,0
event_change_requests,status,text,text,NO,'pending'::text
event_change_requests,reviewed_by,uuid,uuid,YES,null
event_change_requests,reviewed_at,timestamp with time zone,timestamptz,YES,null
event_change_requests,review_note,text,text,YES,null
event_change_requests,applied_changes,jsonb,jsonb,YES,null
event_change_requests,order_action,text,text,YES,null
event_change_requests,created_at,timestamp with time zone,timestamptz,NO,now()
event_change_requests,updated_at,timestamp with time zone,timestamptz,NO,now()
event_change_requests,preorder_value_cents_at_request,integer,int4,NO,0
event_company_payments,id,uuid,uuid,NO,gen_random_uuid()
event_company_payments,market_id,uuid,uuid,NO,null
event_company_payments,catering_request_id,uuid,uuid,NO,null
event_company_payments,payment_type,text,text,NO,null
event_company_payments,amount_cents,integer,int4,NO,null
event_company_payments,payment_method,text,text,YES,null
event_company_payments,stripe_payment_intent_id,text,text,YES,null
event_company_payments,status,text,text,NO,'pending'::text
event_company_payments,notes,text,text,YES,null
event_company_payments,created_at,timestamp with time zone,timestamptz,NO,now()
event_company_payments,paid_at,timestamp with time zone,timestamptz,YES,null
event_ratings,id,uuid,uuid,NO,gen_random_uuid()
event_ratings,catering_request_id,uuid,uuid,NO,null
event_ratings,user_id,uuid,uuid,NO,null
event_ratings,rating,smallint,int2,NO,null
event_ratings,comment,text,text,YES,null
event_ratings,status,text,text,NO,'pending'::text
event_ratings,created_at,timestamp with time zone,timestamptz,NO,now()
event_ratings,updated_at,timestamp with time zone,timestamptz,NO,now()
event_ratings,moderated_at,timestamp with time zone,timestamptz,YES,null
event_ratings,moderated_by,uuid,uuid,YES,null
event_vendor_fee_payments,id,uuid,uuid,NO,gen_random_uuid()
event_vendor_fee_payments,catering_request_id,uuid,uuid,NO,null
event_vendor_fee_payments,market_id,uuid,uuid,NO,null
event_vendor_fee_payments,vendor_profile_id,uuid,uuid,NO,null
event_vendor_fee_payments,fee_cents,integer,int4,NO,null
event_vendor_fee_payments,vendor_pays_cents,integer,int4,NO,null
event_vendor_fee_payments,organizer_receives_cents,integer,int4,NO,null
event_vendor_fee_payments,platform_keeps_cents,integer,int4,NO,null
event_vendor_fee_payments,status,text,text,NO,'pending_payment'::text
event_vendor_fee_payments,stripe_checkout_session_id,text,text,YES,null
event_vendor_fee_payments,stripe_payment_intent_id,text,text,YES,null
event_vendor_fee_payments,paid_at,timestamp with time zone,timestamptz,YES,null
event_vendor_fee_payments,refunded_at,timestamp with time zone,timestamptz,YES,null
event_vendor_fee_payments,refund_reason,text,text,YES,null
event_vendor_fee_payments,created_at,timestamp with time zone,timestamptz,NO,now()
event_vendor_fee_payments,updated_at,timestamp with time zone,timestamptz,NO,now()
event_vendor_fee_payments,cancel_requested_at,timestamp with time zone,timestamptz,YES,null
event_vendor_fee_payments,cancel_reason,text,text,YES,null
event_vendor_fee_payments,forfeited_at,timestamp with time zone,timestamptz,YES,null
event_vendor_fee_payments,waiver_decided_at,timestamp with time zone,timestamptz,YES,null
event_vendor_fee_payments,covering_payment_id,uuid,uuid,YES,null
event_vendor_listings,id,uuid,uuid,NO,gen_random_uuid()
event_vendor_listings,market_id,uuid,uuid,NO,null
event_vendor_listings,vendor_profile_id,uuid,uuid,NO,null
event_vendor_listings,listing_id,uuid,uuid,NO,null
event_vendor_listings,created_at,timestamp with time zone,timestamptz,NO,now()
event_vendor_listings,host_status,text,text,NO,'approved'::text
event_wave_reservations,id,uuid,uuid,NO,gen_random_uuid()
event_wave_reservations,wave_id,uuid,uuid,NO,null
event_wave_reservations,market_id,uuid,uuid,NO,null
event_wave_reservations,user_id,uuid,uuid,NO,null
event_wave_reservations,status,text,text,NO,'reserved'::text
event_wave_reservations,reserved_at,timestamp with time zone,timestamptz,NO,now()
event_wave_reservations,order_id,uuid,uuid,YES,null
event_wave_reservations,expires_at,timestamp with time zone,timestamptz,YES,null
event_waves,id,uuid,uuid,NO,gen_random_uuid()
event_waves,market_id,uuid,uuid,NO,null
event_waves,wave_number,integer,int4,NO,null
event_waves,start_time,time without time zone,time,NO,null
event_waves,end_time,time without time zone,time,NO,null
event_waves,capacity,integer,int4,NO,null
event_waves,reserved_count,integer,int4,NO,0
event_waves,status,text,text,NO,'open'::text
event_waves,created_at,timestamp with time zone,timestamptz,NO,now()
fulfillments,id,uuid,uuid,NO,uuid_generate_v4()
fulfillments,transaction_id,uuid,uuid,NO,null
fulfillments,mode,USER-DEFINED,fulfillment_mode,NO,null
fulfillments,status,USER-DEFINED,fulfillment_status,YES,'pending'::fulfillment_status
fulfillments,scheduled_at,timestamp with time zone,timestamptz,YES,null
fulfillments,confirmed_at,timestamp with time zone,timestamptz,YES,null
fulfillments,completed_at,timestamp with time zone,timestamptz,YES,null
fulfillments,location_notes,text,text,YES,null
fulfillments,created_at,timestamp with time zone,timestamptz,YES,now()
fulfillments,updated_at,timestamp with time zone,timestamptz,YES,now()
geography_columns,f_table_catalog,name,name,YES,null
geography_columns,f_table_schema,name,name,YES,null
geography_columns,f_table_name,name,name,YES,null
geography_columns,f_geography_column,name,name,YES,null
geography_columns,coord_dimension,integer,int4,YES,null
geography_columns,srid,integer,int4,YES,null
geography_columns,type,text,text,YES,null
geometry_columns,f_table_catalog,character varying,varchar,YES,null
geometry_columns,f_table_schema,name,name,YES,null
geometry_columns,f_table_name,name,name,YES,null
geometry_columns,f_geometry_column,name,name,YES,null
geometry_columns,coord_dimension,integer,int4,YES,null
geometry_columns,srid,integer,int4,YES,null
geometry_columns,type,character varying,varchar,YES,null
knowledge_articles,id,uuid,uuid,NO,gen_random_uuid()
knowledge_articles,vertical_id,text,text,YES,null
knowledge_articles,category,text,text,NO,null
knowledge_articles,title,text,text,NO,null
knowledge_articles,body,text,text,NO,null
knowledge_articles,sort_order,integer,int4,NO,0
knowledge_articles,is_published,boolean,bool,NO,false
knowledge_articles,created_at,timestamp with time zone,timestamptz,NO,now()
knowledge_articles,updated_at,timestamp with time zone,timestamptz,NO,now()
listing_images,id,uuid,uuid,NO,uuid_generate_v4()
listing_images,listing_id,uuid,uuid,NO,null
listing_images,storage_path,text,text,NO,null
listing_images,url,text,text,YES,null
listing_images,alt_text,text,text,YES,null
listing_images,display_order,integer,int4,YES,0
listing_images,is_primary,boolean,bool,YES,false
listing_images,created_at,timestamp with time zone,timestamptz,YES,now()
listing_markets,id,uuid,uuid,NO,gen_random_uuid()
listing_markets,listing_id,uuid,uuid,NO,null
listing_markets,market_id,uuid,uuid,NO,null
listing_markets,available_dates,jsonb,jsonb,YES,null
listing_markets,created_at,timestamp with time zone,timestamptz,NO,now()
listings,id,uuid,uuid,NO,uuid_generate_v4()
listings,vendor_profile_id,uuid,uuid,NO,null
listings,vertical_id,text,text,NO,null
listings,status,USER-DEFINED,listing_status,YES,'draft'::listing_status
listings,listing_data,jsonb,jsonb,YES,'{}'::jsonb
listings,address,text,text,YES,null
listings,city,text,text,YES,null
listings,state,text,text,YES,null
listings,zip,text,text,YES,null
listings,latitude,numeric,numeric,YES,null
listings,longitude,numeric,numeric,YES,null
listings,available_from,date,date,YES,null
listings,available_to,date,date,YES,null
listings,created_at,timestamp with time zone,timestamptz,YES,now()
listings,updated_at,timestamp with time zone,timestamptz,YES,now()
listings,deleted_at,timestamp with time zone,timestamptz,YES,null
listings,title,text,text,YES,null
listings,description,text,text,YES,null
listings,price_cents,integer,int4,YES,0
listings,quantity,integer,int4,YES,0
listings,category,text,text,YES,null
listings,image_urls,ARRAY,_text,YES,'{}'::text[]
listings,listing_type,USER-DEFINED,listing_type,YES,'presale'::listing_type
listings,premium_window_ends_at,timestamp with time zone,timestamptz,YES,null
listings,quantity_amount,numeric,numeric,YES,null
listings,quantity_unit,text,text,YES,null
listings,advance_order_days,integer,int4,NO,0
listings,is_taxable,boolean,bool,NO,false
listings,search_vector,tsvector,tsvector,YES,null
listings,covered_container,boolean,bool,NO,false
market_booth_inventory,id,uuid,uuid,NO,gen_random_uuid()
market_booth_inventory,market_id,uuid,uuid,NO,null
market_booth_inventory,size_label,text,text,NO,null
market_booth_inventory,dimensions,text,text,YES,null
market_booth_inventory,count,integer,int4,NO,null
market_booth_inventory,weekly_price_cents,integer,int4,NO,null
market_booth_inventory,created_at,timestamp with time zone,timestamptz,NO,now()
market_booth_inventory,updated_at,timestamp with time zone,timestamptz,NO,now()
market_booth_placeholders,id,uuid,uuid,NO,gen_random_uuid()
market_booth_placeholders,market_id,uuid,uuid,NO,null
market_booth_placeholders,inventory_id,uuid,uuid,YES,null
market_booth_placeholders,booth_number,text,text,NO,null
market_booth_placeholders,notes,text,text,YES,null
market_booth_placeholders,created_at,timestamp with time zone,timestamptz,NO,now()
market_booth_placeholders,updated_at,timestamp with time zone,timestamptz,NO,now()
market_box_offerings,id,uuid,uuid,NO,uuid_generate_v4()
market_box_offerings,vendor_profile_id,uuid,uuid,NO,null
market_box_offerings,vertical_id,text,text,NO,null
market_box_offerings,name,text,text,NO,null
market_box_offerings,description,text,text,YES,null
market_box_offerings,image_urls,ARRAY,_text,YES,'{}'::text[]
market_box_offerings,price_cents,integer,int4,NO,null
market_box_offerings,pickup_market_id,uuid,uuid,NO,null
market_box_offerings,pickup_day_of_week,integer,int4,NO,null
market_box_offerings,pickup_start_time,time without time zone,time,NO,null
market_box_offerings,pickup_end_time,time without time zone,time,NO,null
market_box_offerings,max_subscribers,integer,int4,YES,null
market_box_offerings,active,boolean,bool,YES,true
market_box_offerings,created_at,timestamp with time zone,timestamptz,YES,now()
market_box_offerings,updated_at,timestamp with time zone,timestamptz,YES,now()
market_box_offerings,price_4week_cents,integer,int4,NO,null
market_box_offerings,price_8week_cents,integer,int4,YES,null
market_box_offerings,premium_window_ends_at,timestamp with time zone,timestamptz,YES,null
market_box_offerings,quantity_amount,numeric,numeric,YES,null
market_box_offerings,quantity_unit,text,text,YES,null
market_box_offerings,box_type,text,text,YES,null
market_box_pickups,id,uuid,uuid,NO,uuid_generate_v4()
market_box_pickups,subscription_id,uuid,uuid,NO,null
market_box_pickups,week_number,integer,int4,NO,null
market_box_pickups,scheduled_date,date,date,NO,null
market_box_pickups,status,USER-DEFINED,market_box_pickup_status,YES,'scheduled'::market_box_pickup_status
market_box_pickups,ready_at,timestamp with time zone,timestamptz,YES,null
market_box_pickups,picked_up_at,timestamp with time zone,timestamptz,YES,null
market_box_pickups,missed_at,timestamp with time zone,timestamptz,YES,null
market_box_pickups,rescheduled_to,date,date,YES,null
market_box_pickups,vendor_notes,text,text,YES,null
market_box_pickups,created_at,timestamp with time zone,timestamptz,YES,now()
market_box_pickups,updated_at,timestamp with time zone,timestamptz,YES,now()
market_box_pickups,is_extension,boolean,bool,YES,false
market_box_pickups,skipped_by_vendor_at,timestamp with time zone,timestamptz,YES,null
market_box_pickups,skip_reason,text,text,YES,null
market_box_pickups,buyer_confirmed_at,timestamp with time zone,timestamptz,YES,null
market_box_pickups,vendor_confirmed_at,timestamp with time zone,timestamptz,YES,null
market_box_pickups,confirmation_window_expires_at,timestamp with time zone,timestamptz,YES,null
market_box_subscriptions,id,uuid,uuid,NO,uuid_generate_v4()
market_box_subscriptions,offering_id,uuid,uuid,NO,null
market_box_subscriptions,buyer_user_id,uuid,uuid,NO,null
market_box_subscriptions,order_id,uuid,uuid,YES,null
market_box_subscriptions,total_paid_cents,integer,int4,NO,null
market_box_subscriptions,start_date,date,date,NO,null
market_box_subscriptions,status,USER-DEFINED,market_box_subscription_status,YES,'active'::market_box_subscription_status
market_box_subscriptions,weeks_completed,integer,int4,YES,0
market_box_subscriptions,created_at,timestamp with time zone,timestamptz,YES,now()
market_box_subscriptions,updated_at,timestamp with time zone,timestamptz,YES,now()
market_box_subscriptions,completed_at,timestamp with time zone,timestamptz,YES,null
market_box_subscriptions,cancelled_at,timestamp with time zone,timestamptz,YES,null
market_box_subscriptions,term_weeks,integer,int4,NO,4
market_box_subscriptions,original_end_date,date,date,YES,null
market_box_subscriptions,extended_weeks,integer,int4,YES,0
market_box_subscriptions,stripe_payment_intent_id,text,text,YES,null
market_box_subscriptions,pickup_frequency,text,text,NO,'weekly'::text
market_broadcasts,id,uuid,uuid,NO,gen_random_uuid()
market_broadcasts,market_id,uuid,uuid,NO,null
market_broadcasts,sender_user_id,uuid,uuid,YES,null
market_broadcasts,subject,text,text,YES,null
market_broadcasts,body,text,text,NO,null
market_broadcasts,recipient_count,integer,int4,NO,0
market_broadcasts,created_at,timestamp with time zone,timestamptz,NO,now()
market_bundle_components,id,uuid,uuid,NO,gen_random_uuid()
market_bundle_components,bundle_id,uuid,uuid,NO,null
market_bundle_components,listing_id,uuid,uuid,NO,null
market_bundle_components,quantity,integer,int4,NO,1
market_bundle_components,created_at,timestamp with time zone,timestamptz,NO,now()
market_bundles,id,uuid,uuid,NO,gen_random_uuid()
market_bundles,market_id,uuid,uuid,NO,null
market_bundles,name,text,text,NO,null
market_bundles,description,text,text,YES,null
market_bundles,margin_cents,integer,int4,NO,null
market_bundles,quantity_limit,integer,int4,NO,null
market_bundles,quantity_sold,integer,int4,NO,0
market_bundles,status,text,text,NO,'draft'::text
market_bundles,justification,text,text,YES,null
market_bundles,pickup_market_date,date,date,YES,null
market_bundles,pickup_notes,text,text,YES,null
