table_name,constraint_name,check_clause
order_items,order_items_tax_amount_cents_check,((tax_amount_cents IS NULL) OR (tax_amount_cents >= 0))
order_items,order_items_tax_source_check,"((tax_source IS NULL) OR (tax_source = ANY (ARRAY['none'::text, 'manual'::text, 'stripe'::text])))"
order_items,order_items_taxable_amount_cents_check,((taxable_amount_cents IS NULL) OR (taxable_amount_cents >= 0))
order_ratings,order_ratings_rating_check,((rating >= 1) AND (rating <= 5))
orders,orders_chipin_amount_cents_check,((chipin_amount_cents IS NULL) OR (chipin_amount_cents >= 0))
orders,orders_tax_total_cents_check,((tax_total_cents IS NULL) OR (tax_total_cents >= 0))
park_spot_bookings,park_spot_bookings_manager_receives_cents_check,((manager_receives_cents IS NULL) OR (manager_receives_cents >= 0))
park_spot_bookings,park_spot_bookings_price_cents_check,(price_cents >= 0)
park_spot_bookings,park_spot_bookings_status_check,"(status = ANY (ARRAY['pending_payment'::text, 'paid'::text, 'cancelled'::text, 'completed'::text, 'expired'::text]))"
park_spots,park_spots_base_price_cents_check,(base_price_cents >= 0)
park_spots,park_spots_max_length_ft_check,((max_length_ft IS NULL) OR (max_length_ft > 0))
park_spots,park_spots_power_check,"(power = ANY (ARRAY['shore'::text, 'generator_ok'::text, 'none'::text]))"
park_standing_reservations,park_standing_reservations_day_of_week_check,((day_of_week >= 0) AND (day_of_week <= 6))
park_standing_reservations,park_standing_reservations_status_check,"(status = ANY (ARRAY['requested'::text, 'active'::text, 'suspended'::text, 'revoked'::text]))"
park_vendor_vetting,park_vendor_vetting_review_status_check,"(review_status = ANY (ARRAY['pending'::text, 'reviewed'::text, 'flagged'::text]))"
public_activity_events,public_activity_events_event_type_check,"(event_type = ANY (ARRAY['purchase'::text, 'new_vendor'::text, 'sold_out'::text, 'new_listing'::text]))"
support_tickets,support_tickets_category_check,"(category = ANY (ARRAY['technical_problem'::text, 'order_issue'::text, 'account_help'::text, 'feature_request'::text, 'general'::text]))"
support_tickets,support_tickets_status_check,"(status = ANY (ARRAY['new'::text, 'in_progress'::text, 'resolved'::text, 'closed'::text]))"
user_agreement_acceptances,user_agreement_acceptances_agreement_type_check,"(agreement_type = ANY (ARRAY['platform_user'::text, 'vendor_service'::text, 'vendor_partner'::text]))"
user_profiles,user_profiles_buyer_tier_check,"(buyer_tier = ANY (ARRAY['standard'::text, 'premium'::text]))"
user_profiles,user_profiles_location_source_check,"(location_source = ANY (ARRAY['gps'::text, 'manual'::text, 'ip'::text]))"
vendor_activity_scan_log,vendor_activity_scan_log_status_check,"(status = ANY (ARRAY['running'::text, 'completed'::text, 'failed'::text]))"
vendor_fee_ledger,vendor_fee_ledger_type_check,"(type = ANY (ARRAY['debit'::text, 'credit'::text]))"
vendor_leads,vendor_leads_status_check,"(status = ANY (ARRAY['new'::text, 'contacted'::text, 'converted'::text, 'rejected'::text]))"
vendor_location_cache,vendor_location_cache_location_source_check,"(location_source = ANY (ARRAY['direct'::text, 'market'::text]))"
vendor_offers,vendor_offers_kind_check,"(kind = ANY (ARRAY['punch_card'::text, 'spend_threshold'::text]))"
vendor_payouts,vendor_payouts_has_reference,((order_item_id IS NOT NULL) OR (market_box_pickup_id IS NOT NULL) OR (market_box_subscription_id IS NOT NULL))
vendor_profiles,chk_pickup_lead_minutes,"(pickup_lead_minutes = ANY (ARRAY[15, 30]))"
vendor_profiles,ck_vendor_fee_override_floor,((vendor_fee_override_percent IS NULL) OR ((vendor_fee_override_percent >= 3.6) AND (vendor_fee_override_percent <= 6.5)))
vendor_profiles,ck_vendor_market_box_frequency,"(market_box_frequency = ANY (ARRAY['weekly'::text, 'biweekly'::text]))"
vendor_profiles,vendor_profiles_pickup_capacity_app_orders_check,((pickup_capacity_app_orders IS NULL) OR (pickup_capacity_app_orders > 0))
vendor_profiles,vendor_profiles_pickup_capacity_avg_items_check,((pickup_capacity_avg_items IS NULL) OR (pickup_capacity_avg_items > 0))
vendor_profiles,vendor_profiles_pickup_capacity_items_check,((pickup_capacity_items IS NULL) OR (pickup_capacity_items > 0))
vendor_profiles,vendor_profiles_pickup_capacity_slot_minutes_check,"((pickup_capacity_slot_minutes IS NULL) OR (pickup_capacity_slot_minutes = ANY (ARRAY[15, 30])))"
vendor_profiles,vendor_profiles_pickup_capacity_total_per_slot_check,((pickup_capacity_total_per_slot IS NULL) OR (pickup_capacity_total_per_slot > 0))
vendor_profiles,vendor_profiles_production_category_valid,"((production_category IS NULL) OR (production_category <@ ARRAY['1'::text, '2'::text, '3'::text, '4'::text]))"
vendor_profiles,vendor_profiles_subscription_cycle_check,"((subscription_cycle = ANY (ARRAY['monthly'::text, 'annual'::text])) OR (subscription_cycle IS NULL))"
vendor_profiles,vendor_profiles_subscription_status_check,"((subscription_status = ANY (ARRAY['active'::text, 'past_due'::text, 'canceled'::text, 'trialing'::text])) OR (subscription_status IS NULL))"
vendor_profiles,vendor_profiles_tier_check,"(tier = ANY (ARRAY['free'::text, 'pro'::text, 'boss'::text, 'standard'::text, 'premium'::text, 'featured'::text, 'basic'::text]))"
vendor_quality_findings,vendor_quality_findings_check_type_check,"(check_type = ANY (ARRAY['schedule_conflict'::text, 'low_stock_event'::text, 'price_anomaly'::text, 'ghost_listing'::text, 'inventory_velocity'::text]))"
vendor_quality_findings,vendor_quality_findings_severity_check,"(severity = ANY (ARRAY['action_required'::text, 'heads_up'::text, 'suggestion'::text]))"
vendor_quality_findings,vendor_quality_findings_status_check,"(status = ANY (ARRAY['active'::text, 'dismissed'::text, 'superseded'::text]))"
vendor_quality_scan_log,vendor_quality_scan_log_status_check,"(status = ANY (ARRAY['running'::text, 'completed'::text, 'failed'::text]))"
vendor_referral_credits,vendor_referral_credits_status_check,"(status = ANY (ARRAY['pending'::text, 'earned'::text, 'applied'::text, 'expired'::text, 'voided'::text]))"
vendor_verifications,vendor_verifications_coi_status_check,"(coi_status = ANY (ARRAY['not_submitted'::text, 'pending'::text, 'approved'::text, 'rejected'::text]))"
weekly_booth_rentals,weekly_booth_rentals_manager_receives_cents_check,((manager_receives_cents IS NULL) OR (manager_receives_cents >= 0))
weekly_booth_rentals,weekly_booth_rentals_price_cents_check,(price_cents >= 0)
weekly_booth_rentals,weekly_booth_rentals_status_check,"(status = ANY (ARRAY['pending_payment'::text, 'paid'::text, 'cancelled'::text, 'completed'::text]))"
